path,sha256,status,start_pc,stop_pc,instructions,cycles,fetch_penalty,branch_penalty,mispredictions,branches,branches_taken,branches_not_taken,loads,stores,coremark_per_mhz,modeled_coremark_per_mj,error
tests/coremark/build_resume_lto_order_search_20260826/original_swap_3_4/coremark.elf,819ef15d5845838a99b23360d331993fb4c5551cf08cccdb0a5f4e6186bfa024,OK,0x000001a6,0x000001f2,183205,195037,6450,5382,666,45795,18580,27215,43879,10645,5.127232268749006,233.05601221586394,
tests/coremark/build_resume_lto_order_search_20260826/original_swap_4_5/coremark.elf,63507327ee831a2786741dea692d43fd1b7df9e11d5b4e7b30a2f0621e5d22ee,OK,0x000001a6,0x000001f2,183205,195120,6533,5382,666,45795,18580,27215,43879,10645,5.125051250512505,232.9568750232957,
tests/coremark/build_resume_lto_order_search_20260826/original_swap_5_6/coremark.elf,a92bbf54c76ebcad93e043861da95efac0f75efcb33c8091d1854d9805049e57,OK,0x000001a6,0x000001f2,183205,195083,6496,5382,666,45795,18580,27215,43879,10645,5.126023282397749,233.00105829080678,
tests/coremark/build_resume_lto_order_search_20260826/reverse_helpers/coremark.elf,21aec595661eea70899f5ceee4a943c7f14658a4ffe2e423a44bf885dee18cc4,OK,0x000001a6,0x000001f2,183205,195539,6952,5382,666,45795,18580,27215,43879,10645,5.11406931609551,232.45769618615958,
tests/coremark/build_resume_lto_order_search_20260826/small_after_bench/coremark.elf,eb393051880083178b56aeadc031b91d807df2eaf0ee5fdaa12d703022d5454a,OK,0x000001a6,0x000001f2,183205,195899,7312,5382,666,45795,18580,27215,43879,10645,5.104671284692622,232.03051294057374,
tests/coremark/build_resume_lto_order_search_20260826/timed_call_order/coremark.elf,712e2adab259d2180c8a587cdaab67a716fe358942646b4a4a41288bed93f04e,OK,0x000001a6,0x000001f2,183205,195536,6949,5382,666,45795,18580,27215,43879,10645,5.114147778414205,232.46126265519115,
tests/coremark/build_resume_lto_order_search_20260826/timed_first/coremark.elf,defa168b7b1dfd3446d6e727ead8fcb369fc18cc403fffd00e14d005087485ed,OK,0x000001a6,0x000001f2,183205,195573,6986,5382,666,45795,18580,27215,43879,10645,5.113180244716807,232.41728385076397,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0014/coremark.elf,9993a4a5cb3773d93bd7a4c4403e3b97a22780a387f2851d9954a5a9885b2e8d,OK,0x000001a6,0x000001f2,183205,195079,6492,5382,666,45795,18580,27215,43879,10645,5.126128389011631,233.00583586416508,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0016/coremark.elf,d4acb8b8d9a3a19d414e0ad85cb56ed42fd6bffd36bb165cefac33fe27865875,OK,0x000001a6,0x000001f2,183205,194988,6401,5382,666,45795,18580,27215,43879,10645,5.128520729480789,233.11457861276313,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0018/coremark.elf,06a27c5e50ae4ac682d937f524dd53686a664f8aea5361056a76618ae8c926a7,OK,0x000001a6,0x000001f2,183205,195108,6521,5382,666,45795,18580,27215,43879,10645,5.1253664637021545,232.9712028955525,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0048/coremark.elf,fc91a356407d211033d735fbfaba3e70de5cd2ce9e26de3efd1bab6b9fa8cf54,OK,0x000001a8,0x000001f4,183205,195072,6485,5382,666,45795,18580,27215,43879,10645,5.126312335958005,233.01419708900025,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0080/coremark.elf,02c069c6375645ad8ff46c1b43054f14190b3a8f5858a646533140faa2a8c3f4,OK,0x000001aa,0x000001f6,183205,195285,6698,5382,666,45795,18580,27215,43879,10645,5.12072099751645,232.76004534165685,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0112/coremark.elf,0fe1a0cc17d9bad1c679bcd1577def3f49a4586806ff82330fb9d77d66858a2c,OK,0x000001aa,0x000001f6,183205,195257,6670,5382,666,45795,18580,27215,43879,10645,5.121455312741669,232.7934233064395,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0144/coremark.elf,a445e8756bd4cfe200991d222b297f4fa309e1954d6861e1d0e7e1c5fd85b5eb,OK,0x000001aa,0x000001f6,183205,195293,6706,5382,666,45795,18580,27215,43879,10645,5.1205112318413875,232.7505105382449,
tests/coremark/build_resume_lto_phase_search_20260826/lto_swap23_pad_0176/coremark.elf,b22f30586c16b0533e8792cd40b264abd3dba3db52b9d912d4ed47657c8c180d,OK,0x000001aa,0x000001f6,183205,195293,6706,5382,666,45795,18580,27215,43879,10645,5.1205112318413875,232.7505105382449,
